Frame,GGPP_Lig1_HB_Count,GGPP_Lig2_HB_Count
705,359,359
706,332,332
707,343,343
708,352,352
709,347,347
710,338,338
711,345,345
712,347,347
713,345,345
714,345,345
715,334,334
716,335,335
717,338,338
718,339,339
719,343,343
720,345,345
721,354,354
722,347,347
723,349,349
724,348,348
725,336,336
726,349,349
727,359,359
728,344,344
729,341,341
730,352,352
731,348,348
732,340,340
733,353,353
734,356,356
735,351,351
736,349,349
737,351,351
738,361,361
739,341,341
740,354,354
741,359,359
742,342,342
743,355,355
744,353,353
745,354,354
746,348,348
747,358,358
748,349,349
749,341,341
750,346,346
751,357,357
752,360,360
753,352,352
754,349,349
755,350,350
756,343,343
757,353,353
758,331,331
759,340,340
760,352,352
761,347,347
762,333,333
763,342,342
764,356,356
765,351,351
766,352,352
767,342,342
768,337,337
769,332,332
770,350,350
771,346,346
772,339,339
773,335,335
774,330,330
775,338,338
776,344,344
777,343,343
778,334,334
779,349,349
780,349,349
781,346,346
782,339,339
783,328,328
784,329,329
785,343,343
786,337,337
787,333,333
788,332,332
789,335,335
790,341,341
791,340,340
792,339,339
793,352,352
794,343,343
795,349,349
796,339,339
797,352,352
798,327,327
799,342,342
800,345,345
801,354,354
802,340,340
803,344,344
804,340,340
805,348,348
806,354,354
807,345,345
808,359,359
809,346,346
810,353,353
811,348,348
812,353,353
813,344,344
814,351,351
815,353,353
816,353,353
817,349,349
818,348,348
819,346,346
820,347,347
821,335,335
822,344,344
823,346,346
824,334,334
825,345,345
826,348,348
827,332,332
828,347,347
829,332,332
830,353,353
831,338,338
832,340,340
833,355,355
834,337,337
835,354,354
836,353,353
837,346,346
838,353,353
839,354,354
840,343,343
841,341,341
842,345,345
843,347,347
844,320,320
845,342,342
846,328,328
847,344,344
848,343,343
849,330,330
850,335,335
851,336,336
852,349,349
853,340,340
854,329,329
855,324,324
856,351,351
857,346,346
858,345,345
859,336,336
860,334,334
861,343,343
862,342,342
863,343,343
864,340,340
865,345,345
866,337,337
867,342,342
868,336,336
869,334,334
870,339,339
871,337,337
872,344,344
873,334,334
874,348,348
875,332,332
876,344,344
877,342,342
878,337,337
879,330,330
880,328,328
881,339,339
882,335,335
883,340,340
884,335,335
885,340,340
886,333,333
887,327,327
888,334,334
889,345,345
890,332,332
891,342,342
892,339,339
893,328,328
894,348,348
895,346,346
896,344,344
897,340,340
898,350,350
899,341,341
900,349,349
901,348,348
902,343,343
903,336,336
904,344,344
905,330,330
906,340,340
907,327,327
908,336,336
909,329,329
910,335,335
911,338,338
912,334,334
913,336,336
914,346,346
915,337,337
916,333,333
917,337,337
918,337,337
919,335,335
920,328,328
921,346,346
922,333,333
923,347,347
924,343,343
925,325,325
926,330,330
927,339,339
928,334,334
929,341,341
930,332,332
931,327,327
932,333,333
933,325,325
934,345,345
935,332,332
936,337,337
937,345,345
938,338,338
939,348,348
940,339,339
941,347,347
942,338,338
943,346,346
944,351,351
945,349,349
946,336,336
947,337,337
948,343,343
949,333,333
950,344,344
951,343,343
952,352,352
953,340,340
954,332,332
955,353,353
956,344,344
957,341,341
958,353,353
959,346,346
960,329,329
961,336,336
962,345,345
963,349,349
964,347,347
965,344,344
966,350,350
967,356,356
968,360,360
969,342,342
970,345,345
971,350,350
972,357,357
973,356,356
974,333,333
975,343,343
976,350,350
977,343,343
978,339,339
979,349,349
980,349,349
981,350,350
982,335,335
983,346,346
984,345,345
985,353,353
986,348,348
987,337,337
988,355,355
989,342,342
990,350,350
991,348,348
992,336,336
993,342,342
994,344,344
995,337,337
996,340,340
997,347,347
998,348,348
999,347,347
1000,359,359
1001,335,335
1002,354,354
1003,344,344
1004,337,337
1005,334,334
1006,338,338
1007,342,342
1008,336,336
1009,340,340
1010,332,332
1011,327,327
1012,336,336
1013,331,331
1014,341,341
1015,344,344
1016,329,329
1017,344,344
1018,340,340
1019,334,334
1020,329,329
1021,326,326
1022,337,337
1023,344,344
1024,334,334
1025,346,346
1026,336,336
1027,336,336
1028,320,320
1029,328,328
1030,334,334
1031,336,336
1032,341,341
1033,333,333
1034,333,333
1035,340,340
1036,342,342
1037,338,338
1038,331,331
1039,330,330
1040,334,334
1041,323,323
1042,327,327
1043,325,325
1044,344,344
1045,345,345
1046,341,341
1047,338,338
1048,345,345
1049,332,332
1050,344,344
1051,342,342
1052,328,328
1053,346,346
1054,346,346
1055,350,350
1056,337,337
1057,339,339
1058,340,340
1059,355,355
1060,347,347
1061,342,342
1062,345,345
1063,345,345
1064,347,347
1065,345,345
1066,337,337
1067,338,338
1068,328,328
1069,350,350
1070,335,335
1071,357,357
1072,346,346
1073,358,358
1074,341,341
1075,346,346
1076,353,353
1077,344,344
1078,342,342
1079,345,345
1080,336,336
1081,342,342
1082,352,352
1083,352,352
1084,345,345
1085,340,340
1086,348,348
1087,343,343
1088,344,344
1089,358,358
1090,349,349
1091,346,346
1092,348,348
1093,352,352
1094,345,345
1095,348,348
1096,339,339
1097,356,356
1098,345,345
1099,350,350
1100,349,349
1101,344,344
1102,341,341
1103,344,344
1104,358,358
1105,354,354
1106,348,348
1107,357,357
1108,351,351
1109,348,348
1110,353,353
1111,350,350
1112,352,352
1113,345,345
1114,361,361
1115,344,344
1116,335,335
1117,351,351
1118,345,345
1119,321,321
1120,339,339
1121,341,341
1122,352,352
1123,360,360
1124,342,342
1125,353,353
1126,352,352
1127,346,346
1128,330,330
1129,345,345
1130,335,335
1131,326,326
1132,342,342
1133,331,331
1134,328,328
1135,341,341
1136,345,345
1137,341,341
1138,349,349
1139,344,344
1140,337,337
1141,338,338
1142,340,340
1143,347,347
1144,349,349
1145,334,334
1146,342,342
1147,344,344
1148,339,339
1149,336,336
1150,343,343
1151,326,326
1152,341,341
1153,345,345
1154,333,333
1155,328,328
1156,346,346
1157,332,332
1158,342,342
1159,342,342
1160,343,343
1161,338,338
1162,338,338
1163,340,340
1164,345,345
1165,339,339
1166,338,338
1167,350,350
1168,346,346
1169,337,337
1170,328,328
1171,352,352
1172,337,337
1173,339,339
1174,336,336
1175,338,338
1176,334,334
1177,345,345
1178,344,344
1179,343,343
1180,340,340
1181,341,341
1182,352,352
1183,345,345
1184,349,349
1185,343,343
1186,353,353
1187,351,351
1188,343,343
1189,359,359
1190,353,353
1191,349,349
1192,372,372
1193,342,342
1194,347,347
1195,345,345
1196,348,348
1197,340,340
1198,338,338
1199,346,346
1200,349,349
1201,342,342
1202,345,345
1203,340,340
1204,353,353
1205,346,346
1206,345,345
1207,347,347
1208,352,352
1209,343,343
1210,346,346
1211,341,341
1212,350,350
1213,342,342
1214,336,336
1215,345,345
1216,355,355
1217,348,348
1218,355,355
1219,343,343
1220,355,355
1221,345,345
1222,337,337
1223,355,355
1224,340,340
1225,355,355
1226,339,339
1227,341,341
1228,341,341
1229,339,339
1230,344,344
1231,350,350
1232,351,351
1233,354,354
1234,356,356
1235,343,343
1236,347,347
1237,342,342
1238,345,345
1239,342,342
1240,336,336
1241,347,347
1242,332,332
1243,354,354
1244,336,336
1245,344,344
1246,339,339
1247,356,356
1248,344,344
1249,349,349
1250,352,352
1251,358,358
1252,347,347
1253,342,342
1254,353,353
1255,339,339
1256,330,330
1257,335,335
1258,337,337
1259,341,341
1260,336,336
1261,328,328
1262,327,327
1263,353,353
1264,346,346
1265,335,335
1266,335,335
1267,346,346
1268,352,352
1269,352,352
1270,344,344
1271,348,348
1272,351,351
1273,346,346
1274,342,342
1275,342,342
1276,345,345
1277,340,340
1278,353,353
1279,345,345
1280,340,340
1281,349,349
1282,344,344
1283,341,341
1284,355,355
1285,340,340
1286,355,355
1287,345,345
1288,345,345
1289,358,358
1290,351,351
1291,334,334
1292,344,344
1293,342,342
1294,349,349
1295,330,330
1296,351,351
1297,335,335
1298,350,350
1299,339,339
1300,344,344
1301,335,335
1302,334,334
1303,345,345
1304,344,344
1305,337,337
1306,337,337
1307,333,333
1308,338,338
1309,354,354
1310,348,348
1311,345,345
1312,351,351
1313,348,348
1314,345,345
1315,355,355
1316,339,339
1317,346,346
1318,344,344
1319,338,338
1320,345,345
1321,351,351
1322,338,338
1323,346,346
1324,334,334
1325,343,343
1326,343,343
1327,342,342
1328,349,349
1329,348,348
1330,350,350
1331,336,336
1332,339,339
1333,350,350
1334,349,349
1335,343,343
1336,359,359
1337,334,334
1338,339,339
1339,339,339
1340,337,337
1341,338,338
1342,345,345
1343,344,344
1344,352,352
1345,334,334
1346,339,339
1347,340,340
1348,340,340
1349,333,333
1350,347,347
1351,348,348
1352,328,328
1353,336,336
1354,344,344
1355,345,345
1356,351,351
1357,330,330
1358,336,336
1359,321,321
1360,344,344
1361,338,338
1362,326,326
1363,329,329
1364,340,340
1365,338,338
1366,342,342
1367,339,339
1368,343,343
1369,343,343
1370,342,342
1371,340,340
1372,331,331
1373,345,345
1374,333,333
1375,344,344
1376,343,343
1377,335,335
1378,348,348
1379,364,364
1380,349,349
1381,342,342
1382,344,344
1383,351,351
1384,338,338
1385,344,344
1386,355,355
1387,343,343
1388,350,350
1389,352,352
1390,351,351
1391,346,346
1392,359,359
1393,332,332
1394,339,339
1395,330,330
1396,337,337
1397,341,341
1398,347,347
1399,336,336
1400,339,339
1401,345,345
1402,345,345
1403,346,346
1404,354,354
1405,337,337
1406,347,347
1407,351,351
1408,335,335
1409,345,345
1410,347,347
1411,341,341
1412,346,346
1413,331,331
1414,341,341
1415,331,331
1416,339,339
1417,345,345
1418,345,345
1419,340,340
1420,352,352
1421,339,339
1422,352,352
1423,346,346
1424,349,349
1425,344,344
1426,343,343
1427,347,347
1428,340,340
1429,348,348
1430,353,353
1431,337,337
1432,350,350
1433,354,354
1434,341,341
1435,353,353
1436,344,344
1437,341,341
1438,351,351
1439,326,326
1440,339,339
1441,344,344
1442,330,330
1443,339,339
1444,355,355
1445,343,343
1446,344,344
1447,350,350
1448,321,321
1449,339,339
1450,343,343
1451,349,349
1452,358,358
1453,350,350
1454,363,363
1455,332,332
1456,348,348
1457,344,344
1458,336,336
1459,340,340
1460,347,347
1461,351,351
1462,347,347
1463,342,342
1464,360,360
1465,353,353
1466,336,336
1467,342,342
1468,349,349
1469,340,340
1470,339,339
1471,352,352
1472,347,347
1473,350,350
1474,339,339
1475,338,338
1476,341,341
1477,344,344
1478,339,339
1479,341,341
1480,346,346
1481,339,339
1482,349,349
1483,338,338
1484,342,342
1485,337,337
1486,346,346
1487,351,351
1488,334,334
1489,337,337
1490,352,352
1491,339,339
1492,348,348
1493,335,335
1494,341,341
1495,343,343
1496,341,341
1497,353,353
1498,343,343
1499,344,344
1500,336,336
1501,345,345
1502,343,343
1503,349,349
1504,347,347
1505,337,337
1506,344,344
1507,347,347
1508,345,345
1509,350,350
1510,341,341
1511,344,344
1512,340,340
1513,349,349
1514,344,344
1515,333,333
1516,345,345
1517,341,341
1518,343,343
1519,350,350
1520,342,342
1521,353,353
1522,345,345
1523,345,345
1524,348,348
1525,337,337
1526,326,326
1527,349,349
1528,344,344
1529,356,356
1530,338,338
1531,346,346
1532,335,335
1533,347,347
1534,336,336
1535,336,336
1536,346,346
1537,330,330
1538,339,339
1539,336,336
1540,335,335
1541,346,346
1542,348,348
1543,343,343
1544,336,336
1545,343,343
1546,333,333
1547,346,346
1548,342,342
1549,339,339
1550,329,329
1551,341,341
1552,346,346
1553,339,339
1554,332,332
1555,343,343
1556,347,347
1557,346,346
1558,350,350
1559,342,342
1560,336,336
1561,339,339
1562,328,328
1563,349,349
1564,333,333
1565,337,337
1566,336,336
1567,344,344
1568,354,354
1569,333,333
1570,344,344
1571,341,341
1572,346,346
1573,330,330
1574,338,338
1575,343,343
1576,336,336
1577,346,346
1578,347,347
1579,343,343
1580,324,324
1581,344,344
1582,343,343
1583,344,344
1584,348,348
1585,346,346
1586,349,349
1587,340,340
1588,358,358
1589,345,345
1590,348,348
1591,339,339
1592,340,340
1593,346,346
1594,341,341
1595,334,334
1596,356,356
1597,342,342
1598,349,349
1599,342,342
1600,338,338
1601,354,354
1602,356,356
1603,335,335
1604,342,342
1605,343,343
1606,339,339
1607,344,344
1608,342,342
1609,333,333
1610,342,342
1611,355,355
1612,344,344
1613,324,324
1614,348,348
1615,358,358
1616,361,361
1617,340,340
1618,342,342
1619,336,336
1620,355,355
1621,336,336
1622,335,335
1623,345,345
1624,337,337
1625,359,359
1626,339,339
1627,350,350
1628,353,353
1629,350,350
1630,354,354
1631,345,345
1632,354,354
1633,353,353
1634,336,336
1635,336,336
1636,344,344
1637,352,352
1638,357,357
1639,346,346
1640,350,350
1641,355,355
1642,352,352
1643,352,352
1644,349,349
1645,340,340
1646,354,354
1647,346,346
1648,341,341
1649,350,350
1650,347,347
1651,342,342
1652,341,341
1653,342,342
1654,339,339
1655,350,350
1656,342,342
1657,334,334
1658,344,344
1659,350,350
1660,346,346
1661,349,349
1662,338,338
1663,345,345
1664,347,347
1665,347,347
1666,336,336
1667,349,349
1668,343,343
1669,348,348
1670,349,349
