Frame,GGPP_Lig1_HB_Count,GGPP_Lig2_HB_Count
900,359,359
901,346,346
902,348,348
903,349,349
904,338,338
905,350,350
906,356,356
907,355,355
908,346,346
909,354,354
910,353,353
911,341,341
912,344,344
913,327,327
914,350,350
915,352,352
916,344,344
917,349,349
918,360,360
919,349,349
920,346,346
921,358,358
922,344,344
923,349,349
924,353,353
925,354,354
926,347,347
927,345,345
928,356,356
929,350,350
930,347,347
931,360,360
932,347,347
933,348,348
934,344,344
935,331,331
936,334,334
937,339,339
938,340,340
939,359,359
940,346,346
941,353,353
942,332,332
943,347,347
944,351,351
945,328,328
946,342,342
947,351,351
948,346,346
949,337,337
950,333,333
951,334,334
952,352,352
953,335,335
954,350,350
955,336,336
956,350,350
957,345,345
958,340,340
959,349,349
960,359,359
961,348,348
962,366,366
963,353,353
964,345,345
965,348,348
966,353,353
967,346,346
968,344,344
969,349,349
970,363,363
971,352,352
972,354,354
973,340,340
974,355,355
975,352,352
976,345,345
977,342,342
978,344,344
979,357,357
980,349,349
981,364,364
982,352,352
983,357,357
984,358,358
985,363,363
986,372,372
987,355,355
988,343,343
989,359,359
990,356,356
991,352,352
992,349,349
993,357,357
994,359,359
995,349,349
996,352,352
997,345,345
998,349,349
999,345,345
1000,345,345
1001,342,342
1002,344,344
1003,347,347
1004,337,337
1005,344,344
1006,358,358
1007,354,354
1008,348,348
1009,367,367
1010,359,359
1011,350,350
1012,356,356
1013,358,358
1014,348,348
1015,354,354
1016,360,360
1017,352,352
1018,347,347
1019,351,351
1020,358,358
1021,360,360
1022,361,361
1023,350,350
1024,357,357
1025,356,356
1026,351,351
1027,358,358
1028,355,355
1029,362,362
1030,371,371
1031,360,360
1032,352,352
1033,351,351
1034,361,361
1035,351,351
1036,351,351
1037,356,356
1038,334,334
1039,354,354
1040,344,344
1041,355,355
1042,354,354
1043,355,355
1044,351,351
1045,348,348
1046,345,345
1047,349,349
1048,347,347
1049,364,364
1050,352,352
1051,350,350
1052,354,354
1053,351,351
1054,358,358
1055,365,365
1056,357,357
1057,368,368
1058,351,351
1059,351,351
1060,352,352
1061,344,344
1062,353,353
1063,352,352
1064,346,346
1065,345,345
1066,349,349
1067,343,343
1068,337,337
1069,359,359
