System,Replica,Source,Metric,Mean,Std,SEM,Min,Max,Median,CV (%)
CrtM-GGPP,MD,main_metrics,GGPP_Lig1_RMSD,1.054777427690766,0.1879167059144077,0.0019808160036185424,0.483088925044602,2.275121257331404,1.0346794275707516,17.81576861440953
CrtM-GGPP,MD,main_metrics,GGPP_Lig2_RMSD,2.0065676053698547,0.6061813204964668,0.006389712159391152,0.5430614511362842,3.626947531484933,2.071098053950839,30.20986279626169
CrtM-GGPP,MD,mg_distances,MG284_GGPP_Lig1,25.449975454949403,0.5123264882971547,0.00540039536218203,23.710548012226123,28.170838326015343,25.41053067529037,2.0130726224237656
CrtM-GGPP,MD,mg_distances,MG284_GGPP_Lig2,21.57135433823125,0.5870406494392078,0.006187951771107813,19.76802480495096,24.131674943878348,21.514977282498364,2.7213898591373393
CrtM-GGPP,MD,mg_distances,MG285_GGPP_Lig1,7.0709580224718795,0.1683779279113688,0.0017748591996652114,6.412186529156787,7.709403342622614,7.073503144222064,2.3812604653606315
CrtM-GGPP,MD,mg_distances,MG285_GGPP_Lig2,9.349523439077142,0.3554289846772125,0.0037465504600702614,7.918107640800756,10.312679358552362,9.3853514869121,3.801573277966942
CrtM-GGPP,MD,mg_distances,MG286_GGPP_Lig1,4.469400701854756,0.1602205579216419,0.0016888729700510734,3.916436251496005,5.132093196499782,4.462523135083092,3.584833148998075
CrtM-GGPP,MD,mg_distances,MG286_GGPP_Lig2,7.054985098462251,0.2560590581927956,0.0026990994646894423,6.223514465187288,7.792839028404927,7.060905209571338,3.629476953092472
CrtM-GGPP,MD,rmsf,Residue,155.5,73.90027063549903,4.618766914718689,28.0,283.0,155.5,47.52428979774857
CrtM-GGPP,MD,rmsf,RMSF_CA,0.613472371456786,0.18915844334641377,0.01182240270915086,0.3404526107248393,1.3279974206378489,0.5618353362922541,30.83406069245262
CrtM-GGPP,MD2,anomalous_high_flexibility,Residue,140.41666666666666,78.77971220787465,22.74174402494884,1.0,262.0,147.5,56.1042460827594
CrtM-GGPP,MD2,anomalous_high_flexibility,RMSF,1.3570805277630174,0.2724944739735034,0.07866237895064383,1.1085190985683535,1.9892983752257871,1.2285423747690658,20.079462375211993
CrtM-GGPP,MD2,anomalous_high_flexibility,Z_Score,3.0956801615286564,1.1833751807308275,0.3416109895736327,2.016240193786228,5.841243763582683,2.537471190124651,38.226661637630976
CrtM-GGPP,MD2,hb_counts,GGPP_Lig1_HB_Count,322.11688888888887,8.152566282322047,0.08593559409209663,284.0,350.0,322.0,2.530934130912396
CrtM-GGPP,MD2,hb_counts,GGPP_Lig2_HB_Count,322.11688888888887,8.152566282322047,0.08593559409209663,284.0,350.0,322.0,2.530934130912396
CrtM-GGPP,MD2,main_metrics,Protein_RMSD,1.0677630836815446,0.0857140235513353,0.0009035051394651132,0.8313392372309721,1.472189433652844,1.0582261716126151,8.027438376667002
CrtM-GGPP,MD2,main_metrics,Rg,19.726178884717214,0.0677280492923428,0.0007139163241465282,19.47208191004796,20.01930853757296,19.725003463311857,0.34334094650644614
